time,open,close,high,low,diff,up,down,avg_up,avg_down,rsi,ema12,ema26,dif,mov_avg_ten,mov_avg_thirty,dea9,macd
2009/1/5,12.28,12.65,12.7,12.16,0,0,0,0,0,,12.65,12.65,0,,,0,0
2009/1/6,12.7,13.83,13.92,12.62,1.18,1.18,0,0,0,,12.83153846,12.73740741,0.094131054,,,0.018826211,0.150609687
2009/1/7,13.8,13.64,14.07,13.57,-0.19,0,-0.19,0,0,,12.95591716,12.80426612,0.151651042,,,0.045391177,0.21251973
2009/1/8,13.2,13.49,13.7,13.15,-0.15,0,-0.15,0,0,,13.03808375,12.85506122,0.18302253,,,0.072917448,0.220210165
2009/1/9,13.6,13.9,14.08,13.51,0.41,0.41,0,0,0,,13.17068625,12.93246409,0.238222158,,,0.10597839,0.264487536
2009/1/12,13.8,14.11,14.4,13.71,0.21,0.21,0,0.3,0.056666667,84.11214953,13.31519606,13.01968897,0.295507083,,,0.143884128,0.30324591
2009/1/13,13.73,13.42,13.8,13.4,-0.69,0,-0.69,0.3,0.171666667,63.60424028,13.33131974,13.04934164,0.281978098,,,0.171502922,0.220950351
2009/1/14,13.37,14.76,14.76,13.37,1.34,1.34,0,0.326666667,0.171666667,65.55183946,13.5511167,13.17605708,0.375059627,,,0.212214263,0.325690728
2009/1/15,14.66,15.18,15.6,14.52,0.42,0.42,0,0.396666667,0.14,73.91304348,13.80171413,13.32449729,0.477216841,,,0.265214779,0.424004124
2009/1/16,15.34,15.5,15.98,15.3,0.32,0.32,0,0.45,0.115,79.6460177,14.06298888,13.48564564,0.577343241,14.048,,0.327640471,0.499405539
2009/1/19,15.7,15.59,16.11,15.11,0.09,0.09,0,0.396666667,0.115,77.52442997,14.29791367,13.64152374,0.656389927,14.342,,0.393390362,0.52599913
2009/1/20,15.5,15.74,15.83,15.31,0.15,0.15,0,0.386666667,0.115,77.07641196,14.51977311,13.79696643,0.722806677,14.533,,0.459273625,0.527066103
2009/1/21,15.38,15.73,16.15,15.38,-0.01,0,-0.01,0.386666667,0.001666667,99.57081545,14.70596186,13.9401541,0.765807758,14.742,,0.520580452,0.490454612
2009/1/22,15.98,16.65,16.79,15.83,0.92,0.92,0,0.316666667,0.001666667,99.47643979,15.00504465,14.14088343,0.864161223,15.058,,0.589296606,0.549729234
2009/1/23,16.51,17.03,17.5,16.5,0.38,0.38,0,0.31,0.001666667,99.46524064,15.31657624,14.35489206,0.96168418,15.371,,0.663774121,0.595820119
2009/2/2,17.25,16.74,17.35,16.51,-0.29,0,-0.29,0.256666667,0.05,83.69565217,15.53556451,14.53156672,1.003997789,15.634,,0.731818854,0.544357869
2009/2/3,16.66,17.01,17.14,16.51,0.27,0.27,0,0.286666667,0.05,85.14851485,15.76240074,14.71515437,1.047246367,15.993,,0.794904357,0.504684021
2009/2/4,17.1,17.03,17.29,16.83,0.02,0.02,0,0.265,0.05,84.12698413,15.95741601,14.88662442,1.070791592,16.22,,0.850081804,0.441419575
2009/2/5,17.08,16.8,17.78,16.7,-0.23,0,-0.23,0.265,0.086666667,75.35545024,16.08704432,15.02835594,1.058688373,16.382,,0.891803118,0.333770511
2009/2/6,16.94,17.42,17.6,16.88,0.62,0.62,0,0.215,0.086666667,71.27071823,16.29211442,15.20551476,1.086599659,16.574,,0.930762426,0.311674466
2009/2/9,17.68,18.76,18.78,17.6,1.34,1.34,0,0.375,0.086666667,81.22743682,16.67178913,15.46880997,1.202979161,16.891,,0.985205773,0.435546775
2009/2/10,18.49,18.81,18.97,18.29,0.05,0.05,0,0.383333333,0.038333333,90.90909091,17.00074465,15.71630552,1.284439122,17.198,,1.045052443,0.478773358
2009/2/11,18.33,18.11,18.8,17.88,-0.7,0,-0.7,0.338333333,0.155,68.58108108,17.17139932,15.89361623,1.27778309,17.436,,1.091598572,0.372369035
2009/2/12,18.11,17.36,18.19,16.8,-0.75,0,-0.75,0.335,0.28,54.47154472,17.20041481,16.00223725,1.198177559,17.507,,1.112914369,0.170526379
2009/2/13,17.18,17.98,18.07,16.94,0.62,0.62,0,0.438333333,0.241666667,64.46078431,17.32035099,16.14873819,1.171612798,17.602,,1.124654055,0.093917486
2009/2/16,18.23,18.84,18.88,17.76,0.86,0.86,0,0.478333333,0.241666667,66.43518519,17.55414314,16.34809092,1.206052227,17.812,,1.14093369,0.130237075
2009/2/17,18.71,18.34,19.54,18.3,-0.5,0,-0.5,0.255,0.325,43.96551724,17.6750442,16.49563974,1.179404461,17.945,,1.148627844,0.061553234
2009/2/18,17.78,17.05,17.87,17.02,-1.29,0,-1.29,0.246666667,0.54,31.3559322,17.57888355,16.53670346,1.042180092,17.947,,1.127338293,-0.170316403
2009/2/19,17.28,17.16,17.5,16.8,0.11,0.11,0,0.265,0.423333333,38.49878935,17.51443993,16.58287358,0.931566354,17.983,,1.088183906,-0.313235103
2009/2/20,17.16,17.57,17.58,17.09,0.41,0.41,0,0.333333333,0.298333333,52.77044855,17.52298763,16.65599405,0.866993581,17.998,16.20666667,1.043945841,-0.353904519
2009/2/23,17.24,18.09,18.15,16.9,0.52,0.52,0,0.316666667,0.298333333,51.49051491,17.6102203,16.76221671,0.84800359,17.931,16.388,1.004757391,-0.313507601
2009/2/24,17.69,17,17.98,16.93,-1.09,0,-1.09,0.173333333,0.48,26.53061224,17.51634026,16.77983029,0.736509967,17.75,16.49366667,0.951107906,-0.429195878
2009/2/25,17.23,16.62,17.3,16.18,-0.38,0,-0.38,0.173333333,0.46,27.36842105,17.37844176,16.76799101,0.610450746,17.601,16.593,0.882976474,-0.545051455
2009/2/26,16.64,15.95,17.15,15.63,-0.67,0,-0.67,0.173333333,0.356666667,32.70440252,17.15868149,16.70739908,0.451282403,17.46,16.675,0.79663766,-0.690710514
2009/2/27,15.85,15.48,16.19,15.02,-0.47,0,-0.47,0.155,0.435,26.27118644,16.9004228,16.61648063,0.283942163,17.21,16.72766667,0.69409856,-0.820312794
2009/3/2,15.31,16.12,16.18,15.25,0.64,0.64,0,0.193333333,0.435,30.76923077,16.78035775,16.57970429,0.200653461,16.938,16.79466667,0.595409541,-0.789512159
2009/3/3,16,16.7,17.2,15.8,0.58,0.58,0,0.203333333,0.435,31.8537859,16.76799502,16.58861508,0.179379937,16.774,16.904,0.51220362,-0.665647366
2009/3/4,16.85,17.99,18.18,16.76,1.29,1.29,0,0.418333333,0.253333333,62.28287841,16.95599579,16.69242137,0.263574413,16.868,17.01166667,0.462477778,-0.397806731
2009/3/5,18.13,17.84,18.48,17.51,-0.15,0,-0.15,0.418333333,0.215,66.05263158,17.09199643,16.7774272,0.314569237,16.936,17.10033333,0.43289607,-0.236653666
2009/3/6,17.52,18.2,18.58,17.46,0.36,0.36,0,0.478333333,0.103333333,82.23495702,17.26245852,16.88280296,0.379655561,16.999,17.19033333,0.422247968,-0.085184815
2009/3/9,18.45,17.25,18.68,17.21,-0.95,0,-0.95,0.478333333,0.183333333,72.29219144,17.26054183,16.91000274,0.350539084,16.915,17.24566667,0.407906191,-0.114734214
2009/3/10,17.1,17.64,17.69,16.87,0.39,0.39,0,0.436666667,0.183333333,70.43010753,17.31892001,16.96407661,0.354843394,16.979,17.309,0.397293632,-0.084900476
2009/3/11,17.97,17.3,18.05,17.29,-0.34,0,-0.34,0.34,0.24,58.62068966,17.31600924,16.98895983,0.32704941,17.047,17.36133333,0.383244788,-0.112390755
2009/3/12,17.01,16.96,17.3,16.51,-0.34,0,-0.34,0.125,0.296666667,29.64426877,17.26123858,16.98681465,0.274423931,17.148,17.37166667,0.361480616,-0.174113371
2009/3/13,17.25,16.85,17.48,16.8,-0.11,0,-0.11,0.125,0.29,30.12048193,17.19797111,16.97668024,0.221290875,17.285,17.36566667,0.333442668,-0.224303586
2009/3/16,16.62,17,17.09,16.47,0.15,0.15,0,0.09,0.29,23.68421053,17.16751402,16.97840763,0.189106391,17.373,17.37433333,0.304575412,-0.230938043
2009/3/17,17.08,17.86,17.95,16.91,0.86,0.86,0,0.233333333,0.131666667,63.92694064,17.27405032,17.04371076,0.230339557,17.489,17.40266667,0.289728241,-0.118777368
2009/3/18,18.15,18.63,19.2,18,0.77,0.77,0,0.296666667,0.131666667,69.26070039,17.48265796,17.16121367,0.321444294,17.553,17.456,0.296071452,0.050745684
2009/3/19,18.78,20.49,20.49,18.78,1.86,1.86,0,0.606666667,0.075,88.99755501,17.94532597,17.40779044,0.537535534,17.818,17.579,0.344364268,0.386342532
2009/3/20,20.8,20.85,21.18,20.05,0.36,0.36,0,0.666666667,0.018333333,97.32360097,18.3921989,17.66276892,0.729429976,18.083,17.69333333,0.42137741,0.616105132
2009/3/23,20.95,21.08,21.79,20.38,0.23,0.23,0,0.705,0,100,18.80570676,17.91589715,0.88980961,18.466,17.77066667,0.51506385,0.74949152
2009/3/24,21.45,21.06,21.49,20.6,-0.02,0,-0.02,0.68,0.003333333,99.51219512,19.1525211,18.14879366,1.003727447,18.808,17.84566667,0.612796569,0.781861755
2009/3/25,21.06,21.06,21.06,21.06,0,0,0,0.536666667,0.003333333,99.38271605,19.4459794,18.36443857,1.081540824,19.184,17.944,0.70654542,0.749990808
2009/3/26,20.49,21.76,21.8,19.88,0.7,0.7,0,0.525,0.003333333,99.36908517,19.80198257,18.61596164,1.186020925,19.664,18.09066667,0.802440521,0.767160808
2009/3/27,21.93,22.63,23.1,21.93,0.87,0.87,0,0.36,0.003333333,99.08256881,20.23706217,18.91329782,1.323764356,20.242,18.24566667,0.906705288,0.834118135
2009/3/30,22.58,21.84,23.02,21.84,-0.79,0,-0.79,0.3,0.135,68.96551724,20.48366799,19.13009057,1.353577421,20.726,18.34566667,0.996079715,0.714995413
2009/3/31,21,22.45,22.6,20.87,0.61,0.61,0,0.363333333,0.135,72.909699,20.78618061,19.37600979,1.410170821,21.185,18.48266667,1.078897936,0.66254577
2009/4/1,22.65,24.41,24.7,22.65,1.96,1.96,0,0.69,0.131666667,83.97565923,21.34369128,19.74889795,1.594793333,21.763,18.728,1.182077015,0.825432635
2009/4/2,24.5,24.68,25.37,23.79,0.27,0.27,0,0.735,0.131666667,84.80769231,21.85696955,20.11416477,1.742804778,22.182,18.97866667,1.294222568,0.897164421
2009/4/3,25.05,24.92,25.75,24.6,0.24,0.24,0,0.658333333,0.131666667,83.33333333,22.328205,20.47015256,1.858052438,22.589,19.22366667,1.406988542,0.902127792
2009/4/7,24.93,25.11,25.35,24.16,0.19,0.19,0,0.545,0.131666667,80.54187192,22.75617346,20.81384497,1.942328496,22.992,19.45766667,1.514056533,0.856543927
2009/4/8,24.78,24.18,25.3,24.16,-0.93,0,-0.93,0.545,0.155,77.85714286,22.9752237,21.06318978,1.912033916,23.304,19.697,1.593652009,0.636763812
2009/4/9,24.32,24.09,24.7,23.18,-0.09,0,-0.09,0.443333333,0.17,72.2826087,23.14672775,21.28739795,1.859329798,23.607,19.946,1.646787567,0.425084461
2009/4/10,24.55,25.94,26.09,24.08,1.85,1.85,0,0.425,0.17,71.42857143,23.57646194,21.63203514,1.944426802,24.025,20.279,1.706315414,0.476222775
2009/4/13,26.58,28.2,28.23,26.3,2.26,2.26,0,0.756666667,0.17,81.65467626,24.28777549,22.11855105,2.169224434,24.582,20.703,1.798897218,0.740654432
2009/4/14,27.8,27.98,28.6,27.2,-0.22,0,-0.22,0.716666667,0.206666667,77.61732852,24.85581003,22.55273246,2.303077571,25.196,21.09833333,1.899733288,0.806688565
2009/4/15,27.3,29.6,30.35,27.3,1.62,1.62,0,0.955,0.206666667,82.20946915,25.58568541,23.07475227,2.510933133,25.911,21.52833333,2.021973257,0.977919751
2009/4/16,29.58,29.33,30.2,29,-0.27,0,-0.27,0.955,0.096666667,90.80824089,26.16173381,23.53810396,2.623629849,26.403,21.90633333,2.142304576,0.962650546
2009/4/17,29.32,28.95,29.49,27.3,-0.38,0,-0.38,0.955,0.145,86.81818182,26.59069784,23.93898515,2.65171269,26.83,22.27666667,2.244186199,0.815052983
2009/4/20,28.51,28.86,29.51,28.26,-0.09,0,-0.09,0.646666667,0.16,80.16528926,26.93982125,24.30350476,2.636316481,27.224,22.632,2.322612255,0.627408452
2009/4/21,28.2,27.69,28.6,26.8,-1.17,0,-1.17,0.27,0.355,43.2,27.05523336,24.55435626,2.500877098,27.482,22.98,2.358265224,0.285223749
2009/4/22,28.02,25.82,28.15,25.8,-1.87,0,-1.87,0.27,0.63,30,26.86519746,24.64810765,2.217089808,27.646,23.25266667,2.330030141,-0.225880664
2009/4/23,25.68,27.23,27.25,25.6,1.41,1.41,0,0.235,0.63,27.16763006,26.92132093,24.83935894,2.081961991,27.96,23.58366667,2.280416511,-0.396909039
2009/4/24,27.34,26.69,27.38,26.5,-0.54,0,-0.54,0.235,0.675,25.82417582,26.88573309,24.97644346,1.909289633,28.035,23.908,2.206191135,-0.593803005
2009/4/27,26.6,26.67,27.05,25.7,-0.02,0,-0.02,0.235,0.615,27.64705882,26.85254339,25.10189209,1.750651294,27.882,24.23533333,2.115083167,-0.728863746
2009/4/28,26.32,27.5,27.78,26.31,0.83,0.83,0,0.373333333,0.6,38.35616438,26.9521521,25.27952972,1.672622381,27.834,24.58533333,2.02659101,-0.707937258
2009/4/29,27.6,28,28.68,27.25,0.5,0.5,0,0.456666667,0.405,52.99806576,27.11335947,25.48104603,1.632313433,27.674,24.92333333,1.947735494,-0.630844122
2009/4/30,28.3,28.03,28.42,27.9,0.03,0.03,0,0.461666667,0.093333333,83.18318318,27.25438109,25.66985744,1.584523649,27.544,25.23666667,1.875093125,-0.581138953
2009/5/4,28.29,30.46,30.78,28.29,2.43,2.43,0,0.631666667,0.093333333,87.12643678,27.74755323,26.02468281,1.722870414,27.695,25.569,1.844648583,-0.243556337
2009/5/5,30.55,30.23,30.7,29.55,-0.23,0,-0.23,0.631666667,0.041666667,93.81188119,28.12946812,26.33618779,1.793280326,27.832,25.88166667,1.834374932,-0.082189212
2009/5/6,30,30.53,31.68,29.85,0.3,0.3,0,0.681666667,0.038333333,94.67592593,28.49878071,26.64684055,1.851940167,28.116,26.19666667,1.837887979,0.028104377
2009/5/7,30.9,30.8,31.08,29.88,0.27,0.27,0,0.588333333,0.038333333,93.88297872,28.85281445,26.95448199,1.898332462,28.614,26.52133333,1.849976875,0.096711174
2009/5/8,30.22,30.12,31.4,30,-0.68,0,-0.68,0.505,0.151666667,76.9035533,29.04776607,27.1889648,1.85880127,28.903,26.82333333,1.851741754,0.014119031
2009/5/11,30.2,28.31,30.47,28.28,-1.81,0,-1.81,0.5,0.453333333,52.44755245,28.9342636,27.27200445,1.662259153,29.065,27.04166667,1.813845234,-0.303172162
2009/5/12,28,29.42,29.45,27.85,1.11,1.11,0,0.28,0.453333333,38.18181818,29.00899228,27.43111523,1.577877048,29.34,27.268,1.766651597,-0.377549097
2009/5/13,29.59,29.98,30.88,29.11,0.56,0.56,0,0.373333333,0.415,47.35729387,29.15837808,27.61992151,1.538456572,29.588,27.53933333,1.721012592,-0.365112039
2009/5/14,29.31,30.38,30.7,29.18,0.4,0.4,0,0.39,0.415,48.44720497,29.34631991,27.82437177,1.521948147,29.826,27.80366667,1.681199703,-0.318503111
2009/5/15,30.7,31.58,31.7,30.7,1.2,1.2,0,0.545,0.415,56.77083333,29.689963,28.10256645,1.587396554,30.181,28.04266667,1.662439073,-0.150085039
2009/5/18,31,33.59,34.3,30.58,2.01,2.01,0,0.88,0.301666667,74.47108604,30.2899687,28.50904301,1.780925686,30.494,28.33966667,1.686136396,0.189578581
2009/5/19,34.16,35.31,36.02,34.16,1.72,1.72,0,1.166666667,0,100,31.0622812,29.0128176,2.049463603,31.002,28.686,1.758801837,0.581323531
2009/5/20,35.3,37.32,38.49,35.01,2.01,2.01,0,1.316666667,0,100,32.02500717,29.62816445,2.396842727,31.681,29.093,1.886410015,1.020865424
2009/5/21,36.6,34.13,36.99,34,-3.19,0,-3.19,1.223333333,0.531666667,69.70560304,32.34885222,29.96163375,2.387218477,32.014,29.42466667,1.986571707,0.801293539
2009/5/22,33.7,33.65,34.48,32.58,-0.48,0,-0.48,1.156666667,0.611666667,65.40999057,32.5490288,30.23484606,2.314182743,32.367,29.74333333,2.052093915,0.524177657
2009/5/25,32.01,35.36,35.6,31.78,1.71,1.71,0,1.241666667,0.611666667,66.99640288,32.98148591,30.61448709,2.366998817,33.072,30.05733333,2.115074895,0.503847845
2009/5/26,34.6,33.03,34.7,32.7,-2.33,0,-2.33,0.906666667,1,47.55244755,32.98894962,30.79341398,2.195535641,33.433,30.21833333,2.131167044,0.128737194
2009/5/27,33.3,32.9,34,32.48,-0.13,0,-0.13,0.62,1.021666667,37.76649746,32.97526506,30.94945739,2.025807676,33.725,30.38233333,2.110095171,-0.16857499
2009/6/1,33.78,35.45,35.57,33.6,2.55,2.55,0,0.71,1.021666667,41.00096246,33.35599351,31.28283091,2.073162601,34.232,30.57733333,2.102708657,-0.059092112
2009/6/2,35.82,34.98,36.19,34.71,-0.47,0,-0.47,0.71,0.568333333,55.5410691,33.60584066,31.55669529,2.049145376,34.572,30.76566667,2.091996001,-0.085701249
2009/6/3,34.68,35.34,35.88,34.52,0.36,0.36,0,0.77,0.488333333,61.19205298,33.87263441,31.83694008,2.035694326,34.747,30.97866667,2.080735666,-0.090082679
2009/6/4,34.92,34.5,35.14,33.1,-0.84,0,-0.84,0.485,0.628333333,43.56287425,33.96915219,32.03420378,1.934948412,34.666,31.16666667,2.051578215,-0.233259606
2009/6/5,35.1,34.5,35.5,34.24,0,0,0,0.485,0.24,66.89655172,34.05082109,32.21685535,1.833965734,34.384,31.39366667,2.008055719,-0.34817997
2009/6/8,34.5,33.66,34.56,33.25,-0.84,0,-0.84,0.485,0.358333333,57.50988142,33.99069476,32.32375496,1.666939809,34.337,31.655,1.939832537,-0.545785455
2009/6/9,33.33,33.19,33.9,32.25,-0.47,0,-0.47,0.06,0.436666667,12.08053691,33.86751095,32.38792125,1.4795897,34.291,31.85366667,1.847783969,-0.736388539
2009/6/10,33.59,33.41,33.7,32.49,0.22,0.22,0,0.096666667,0.358333333,21.24542125,33.79712465,32.46363079,1.333493862,34.096,32.07766667,1.744925948,-0.822864171
2009/6/11,33.37,33.05,33.44,32.69,-0.36,0,-0.36,0.036666667,0.418333333,8.058608059,33.6821824,32.50706555,1.175116852,34.098,32.29033333,1.630964129,-0.911694554
2009/6/12,33.2,33.54,34.35,32.91,0.49,0.49,0,0.118333333,0.278333333,29.83193277,33.66030818,32.58357921,1.076728973,34.162,32.49166667,1.520117098,-0.886776249
2009/6/15,33.27,32.75,33.5,32.15,-0.79,0,-0.79,0.118333333,0.41,22.39747634,33.52026077,32.59590668,0.924354094,33.892,32.65,1.400964497,-0.953220805
2009/6/16,32.01,32.8,33.3,32,0.05,0.05,0,0.126666667,0.27,31.93277311,33.40945142,32.6110247,0.798426721,33.674,32.809,1.280456942,-0.964060441
2009/6/17,32.78,33.71,33.8,32.52,0.91,0.91,0,0.278333333,0.191666667,59.21985816,33.45568966,32.69243028,0.763259386,33.511,32.91733333,1.177017431,-0.827516089
2009/6/18,33.87,35.81,36.35,33.87,2.1,2.1,0,0.591666667,0.191666667,75.53191489,33.81789125,32.92336137,0.894529886,33.642,33.10333333,1.120519922,-0.451980072
2009/6/19,35.81,34.87,35.98,34.78,-0.94,0,-0.94,0.591666667,0.288333333,67.23484848,33.97975414,33.06755682,0.912197315,33.679,33.248,1.0788554,-0.33331617
2009/6/22,34.91,33.75,35.1,33.58,-1.12,0,-1.12,0.51,0.475,51.77664975,33.94440735,33.11810817,0.826299178,33.688,33.34633333,1.028344156,-0.404089955
2009/6/23,32.88,33.34,33.79,32.8,-0.41,0,-0.41,0.51,0.411666667,55.33453888,33.8514216,33.1345446,0.716877001,33.703,33.45366667,0.966050725,-0.498347448
2009/6/24,33.4,34.78,34.96,33.4,1.44,1.44,0,0.741666667,0.411666667,64.30635838,33.99427982,33.25643019,0.737849631,33.84,33.66933333,0.920410506,-0.365121751
2009/6/25,34.6,33.93,34.9,33.9,-0.85,0,-0.85,0.59,0.553333333,51.60349854,33.98439061,33.30632425,0.678066368,33.928,33.81966667,0.871941678,-0.387750621
2009/6/26,34.35,34.62,35.6,34.35,0.69,0.69,0,0.355,0.553333333,39.08256881,34.08217667,33.40363356,0.678543112,34.036,33.97433333,0.833261965,-0.309437706
2009/6/29,34.43,35.79,36.18,34.1,1.17,1.17,0,0.55,0.396666667,58.09859155,34.34491872,33.58040145,0.764517278,34.34,34.15466667,0.819513028,-0.1099915
2009/6/30,36.23,35.27,36.88,35.09,-0.52,0,-0.52,0.55,0.296666667,64.96062992,34.48723892,33.70555689,0.781682026,34.587,34.27766667,0.811946827,-0.060529603
2009/7/1,34.99,35.8,36.18,34.89,0.53,0.53,0,0.638333333,0.228333333,73.65384615,34.68920216,33.86070083,0.828501335,34.796,34.35133333,0.815257729,0.026487212
2009/7/2,36.1,37.7,37.89,36.1,1.9,1.9,0,0.715,0.228333333,75.795053,35.15240183,34.14509336,1.007308471,34.985,34.431,0.853667877,0.307281187
2009/7/3,37.02,39.46,39.81,36.98,1.76,1.76,0,1.008333333,0.086666667,92.08523592,35.81510924,34.53879015,1.276319094,35.444,34.50233333,0.938198121,0.676241946
2009/7/6,39.08,39.26,40.6,38.45,-0.2,0,-0.2,0.893333333,0.12,88.15789474,36.34509243,34.8885094,1.456583039,35.995,34.67333333,1.041875104,0.829415869
2009/7/7,38.85,37.34,38.85,37.22,-1.92,0,-1.92,0.698333333,0.44,61.34699854,36.49815514,35.07010129,1.428053845,36.395,34.79633333,1.119110852,0.617885985
2009/7/8,37.35,38.48,38.49,36.7,1.14,1.14,0,0.888333333,0.353333333,71.54362416,36.80305435,35.32268638,1.480367965,36.765,34.90033333,1.191362275,0.57801138
2009/7/9,38.45,38.98,39.29,37.7,0.5,0.5,0,0.883333333,0.353333333,71.42857143,37.13796906,35.5935985,1.544370561,37.27,35.09866667,1.261963932,0.564813258
2009/7/10,38.72,38.38,39.33,38.33,-0.6,0,-0.6,0.566666667,0.453333333,55.55555556,37.32905075,35.79999861,1.529052133,37.646,35.28133333,1.315381572,0.427341121
2009/7/13,37.8,36.83,37.86,36.82,-1.55,0,-1.55,0.273333333,0.711666667,27.74957699,37.25227371,35.87629501,1.375978696,37.75,35.32733333,1.327500997,0.096955398
2009/7/14,36.83,37.67,38.31,36.83,0.84,0.84,0,0.413333333,0.678333333,37.86259542,37.31653929,36.00916205,1.307377243,37.99,35.417,1.323476246,-0.032198006
2009/7/15,37.88,38.57,39.2,37.1,0.9,0.9,0,0.563333333,0.358333333,61.12115732,37.5093794,36.19885375,1.310525652,38.267,35.52466667,1.320886127,-0.020720951
2009/7/16,39.33,38.82,40.19,38.5,0.25,0.25,0,0.415,0.358333333,53.6637931,37.71101334,36.39301273,1.318000609,38.379,35.66866667,1.320309024,-0.00461683
2009/7/17,38.99,40,40.13,38.99,1.18,1.18,0,0.528333333,0.358333333,59.58646617,38.06316513,36.66019697,1.402968161,38.433,35.852,1.336840851,0.132254619
2009/7/20,40.5,42.45,42.85,40.2,2.45,2.45,0,0.936666667,0.258333333,78.38214784,38.7380628,37.08907127,1.648991534,38.752,36.145,1.399270988,0.499441093
2009/7/21,42.48,40.77,42.51,40.28,-1.68,0,-1.68,0.936666667,0.28,76.98630137,39.05066853,37.36173266,1.688935869,39.095,36.39766667,1.457203964,0.46346381
2009/7/22,40.4,42.8,44.38,40.38,2.03,2.03,0,1.135,0.28,80.21201413,39.62748875,37.76456728,1.862921478,39.527,36.71066667,1.538347467,0.649148022
2009/7/23,42.88,43.43,43.99,42.13,0.63,0.63,0,1.09,0.28,79.5620438,40.21249048,38.18422896,2.028261525,39.972,37.05666667,1.636330278,0.783862493
2009/7/24,44.13,44.38,45.6,43.44,0.95,0.95,0,1.206666667,0.28,81.16591928,40.85364579,38.64317496,2.210470832,40.572,37.418,1.751158389,0.918624886
2009/7/27,44.7,44.07,44.79,43.1,-0.31,0,-0.31,1.01,0.331666667,75.27950311,41.34846952,39.045162,2.303307516,41.296,37.79533333,1.861588214,0.883438603
2009/7/28,43.97,42.69,44,42.1,-1.38,0,-1.38,0.601666667,0.561666667,51.71919771,41.55485882,39.31515,2.239708821,41.798,38.125,1.937212336,0.604992971
2009/7/29,42.71,40.2,42.78,39.31,-2.49,0,-2.49,0.601666667,0.696666667,46.34146341,41.346419,39.38069445,1.965724558,41.961,38.34133333,1.94291478,0.045619555
2009/7/30,40.5,40.96,41.29,38.88,0.76,0.76,0,0.39,0.696666667,35.88957055,41.28696993,39.49768004,1.789289884,42.175,38.513,1.912189801,-0.245799834
2009/7/31,41.78,41.73,42.06,40.92,0.77,0.77,0,0.413333333,0.696666667,37.23723724,41.3551284,39.66303708,1.692091323,42.348,38.74166667,1.868170105,-0.352157565
2009/8/3,41.88,41.69,42.48,40.2,-0.04,0,-0.04,0.255,0.703333333,26.60869565,41.40664711,39.81318248,1.593464629,42.272,39.00633333,1.81322901,-0.439528762
2009/8/4,41.65,43.76,43.79,40.7,2.07,2.07,0,0.6,0.651666667,47.93608522,41.7687014,40.10553933,1.663162067,42.571,39.35366667,1.783215621,-0.240107109
2009/8/5,43,41.98,43.59,41.63,-1.78,0,-1.78,0.6,0.718333333,45.51201011,41.80120888,40.24438827,1.556820605,42.489,39.59366667,1.737936618,-0.362232025
